,World Rank,Region Rank,Year Score,Property Rights,Freedom from Corruption,Fiscal Freedom ,Gov Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov Expenditure % of GDP,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Score Category,Asia-Pacific,Europe,Middle East / North Africa,North America,South and Central America / Caribbean,Sub-Saharan Africa
193,81.0,13.0,61.3,20.0,22.7,88.1,64.8,73.5,77.9,78.8,77.2,60.0,50.0,3.9,25.0,20.0,12.8,34.2,9.2,96.8,2.2,5.4,10478.0,6.0,1.1,2004.6,11.6,3,1,0,0,0,0,0
194,36.0,4.0,69.8,70.0,66.6,97.3,84.1,70.7,81.5,75.1,52.2,30.0,70.0,18.9,0.0,0.0,16.4,23.0,0.4,11.1,2.5,-0.6,31382.0,11.0,2.3,1093.9,51.9,3,0,0,0,0,1,0
195,13.0,1.0,75.1,60.0,49.4,99.9,71.4,76.3,82.0,78.4,78.6,75.0,80.0,5.7,0.0,0.0,3.1,30.9,1.2,33.1,3.9,4.0,28744.0,3.4,1.2,891.2,33.7,2,0,0,1,0,0,0
196,131.0,27.0,54.1,20.0,23.3,72.5,92.3,70.8,51.9,65.9,59.0,55.0,30.0,13.0,25.0,45.0,9.9,16.0,150.0,306.0,6.1,6.2,2039.0,5.0,8.7,990.0,31.7,4,1,0,0,0,0,0
197,45.0,6.0,68.3,80.0,77.9,74.0,49.8,72.8,78.4,74.6,60.6,55.0,60.0,14.7,35.0,25.0,27.4,40.9,0.3,7.1,0.0,-0.6,25373.0,11.0,4.6,356.4,72.6,3,0,0,0,0,1,0
198,150.0,42.0,50.1,20.0,24.6,89.2,61.2,73.4,77.7,33.9,81.4,30.0,10.0,1.8,12.0,18.0,24.7,36.0,9.4,146.7,1.5,5.0,15634.0,0.6,59.2,1441.8,36.9,4,0,1,0,0,0,0
199,35.0,17.0,69.9,80.0,74.2,44.8,14.8,89.9,72.7,79.5,87.8,85.0,70.0,1.1,50.0,33.0,44.0,53.3,11.1,420.3,-0.2,0.4,37883.0,7.3,2.6,-1613.8,99.6,3,0,1,0,0,0,0
200,115.0,21.0,56.7,30.0,6.7,82.1,74.2,71.6,67.2,77.6,67.8,40.0,50.0,11.1,25.0,25.0,23.3,29.3,0.3,3.0,5.3,2.7,8754.0,16.1,1.4,197.9,78.1,4,0,0,0,0,1,0
202,116.0,24.0,56.7,60.0,58.8,82.9,57.2,59.4,83.6,65.8,49.4,20.0,30.0,17.8,25.0,30.0,13.5,37.8,0.7,5.0,9.7,8.2,6665.0,3.2,9.7,15.9,72.1,4,1,0,0,0,0,0
203,158.0,25.0,48.4,10.0,28.1,87.1,62.5,53.4,29.9,70.0,77.6,15.0,50.0,3.7,13.0,25.0,22.2,35.4,10.8,55.2,5.2,4.8,5099.0,5.4,4.5,1060.0,33.1,5,0,0,0,0,1,0
204,101.0,38.0,58.4,20.0,33.9,82.9,27.4,55.5,62.4,80.1,86.9,75.0,60.0,1.5,10.0,10.0,38.9,49.2,3.9,31.9,-0.7,0.8,8216.0,28.0,2.0,632.9,44.3,4,0,1,0,0,0,0
205,27.0,2.0,72.0,70.0,61.2,81.0,69.8,68.5,69.7,72.4,82.7,75.0,70.0,3.6,25.0,22.0,28.1,31.8,1.9,31.5,3.8,2.7,16820.0,17.8,7.5,292.5,14.9,2,0,0,0,0,0,1
206,114.0,20.0,56.9,50.0,37.9,68.8,54.1,53.8,49.8,69.9,69.3,55.0,60.0,7.9,27.5,34.0,34.8,39.1,198.4,2355.6,0.9,3.2,11875.0,5.5,5.4,65271.9,68.5,4,0,0,0,0,1,0
207,40.0,10.0,69.0,40.0,53.3,90.2,66.1,68.2,96.5,74.2,81.8,70.0,50.0,4.1,0.0,20.0,24.0,33.6,0.4,21.7,1.3,0.5,54389.0,2.7,0.5,850.0,2.4,3,1,0,0,0,0,0
208,61.0,28.0,65.7,30.0,35.2,91.2,64.5,73.5,80.2,79.6,87.8,55.0,60.0,1.1,10.0,10.0,26.1,34.4,7.3,103.8,0.8,0.7,14312.0,12.4,2.4,1899.4,18.5,3,0,1,0,0,0,0
209,98.0,13.0,58.9,30.0,31.3,83.0,82.3,60.7,55.0,78.8,67.8,60.0,40.0,8.6,27.5,27.5,13.7,24.3,17.4,24.3,8.0,5.7,1399.0,77.0,3.6,40.1,27.7,4,0,0,0,0,0,1
210,162.0,36.0,46.5,10.0,11.6,86.9,89.2,28.3,75.7,64.8,73.6,15.0,10.0,3.2,20.0,30.0,3.7,19.0,63.7,89.5,6.3,5.2,1405.0,4.0,6.1,2243.0,47.5,5,1,0,0,0,0,0
212,108.0,23.0,57.4,30.0,18.7,90.8,88.4,36.6,50.2,77.9,71.0,60.0,50.0,9.5,20.0,20.0,10.9,19.6,15.3,36.6,6.5,5.2,2402.0,0.0,2.9,1557.1,28.5,4,1,0,0,0,0,0
213,136.0,29.0,52.6,30.0,21.9,71.7,86.0,45.0,56.1,69.4,61.2,35.0,50.0,11.9,35.0,38.5,11.0,21.6,21.5,50.8,4.7,3.5,2366.0,30.0,3.0,507.0,14.9,4,0,0,0,0,0,1
214,6.0,1.0,80.2,90.0,87.7,79.7,47.3,89.3,83.1,76.3,88.3,80.0,80.0,0.9,29.0,15.0,31.0,41.9,34.8,1488.3,1.8,1.2,42734.0,7.3,1.5,45374.8,85.6,1,0,0,0,1,0,0
215,60.0,3.0,66.1,70.0,54.9,77.4,68.6,63.8,48.0,79.1,69.6,70.0,60.0,10.2,35.0,25.0,20.2,32.3,0.5,2.2,4.3,4.9,4133.0,10.0,2.5,70.9,103.4,3,0,0,0,0,0,1
216,161.0,40.0,46.7,10.0,20.6,65.1,92.6,33.9,40.4,72.5,51.8,50.0,30.0,16.6,50.0,30.0,9.4,15.7,4.9,3.9,4.1,2.8,800.0,8.0,5.2,71.2,30.6,5,0,0,0,0,0,1
218,7.0,1.0,78.7,90.0,72.3,76.5,83.8,69.3,69.3,84.1,82.0,90.0,70.0,4.0,40.0,20.0,18.7,23.2,17.4,320.5,5.5,3.8,18419.0,6.5,3.0,30323.0,11.2,2,0,0,0,0,1,0
219,137.0,29.0,52.5,20.0,35.0,69.9,82.9,49.7,61.9,73.3,71.8,30.0,30.0,4.1,45.0,25.0,19.0,23.9,1354.0,12405.7,7.8,9.3,9162.0,4.1,2.7,121080.0,22.8,4,1,0,0,0,0,0
220,34.0,3.0,70.7,50.0,33.2,80.6,74.9,85.2,80.5,78.8,78.8,75.0,70.0,5.6,33.0,25.0,15.1,28.9,46.6,502.9,4.0,4.0,10792.0,10.4,3.2,15822.9,32.8,2,0,0,0,0,1,0
221,142.0,32.0,51.4,30.0,22.1,64.5,85.3,49.4,50.1,74.5,72.7,35.0,30.0,6.2,30.0,50.0,12.4,22.1,0.7,0.9,2.5,1.9,1258.0,20.0,6.0,17.0,42.6,4,0,0,0,0,0,1
223,169.0,43.0,43.7,10.0,20.6,67.5,79.6,35.1,47.0,72.0,55.6,20.0,30.0,14.7,45.0,34.0,8.4,26.1,4.1,19.1,3.8,5.8,4667.0,53.0,5.0,2757.9,21.1,5,0,0,0,0,0,1
224,53.0,9.0,66.9,50.0,50.9,80.0,90.0,64.9,53.3,76.3,83.8,70.0,50.0,3.1,25.0,30.0,21.9,18.2,4.7,58.8,5.0,3.1,12606.0,7.5,4.5,2265.4,34.8,3,0,0,0,0,1,0
226,87.0,36.0,60.4,40.0,41.1,69.4,45.8,61.4,39.4,79.2,87.4,80.0,60.0,1.3,40.0,20.0,32.6,42.5,4.4,78.4,-2.0,-1.9,17810.0,15.0,3.4,1250.6,56.3,3,0,1,0,0,0,0
227,46.0,21.0,67.6,70.0,64.0,79.7,36.2,79.7,70.2,78.8,82.8,65.0,50.0,1.1,35.0,10.0,26.5,46.1,0.9,23.6,-2.4,0.2,27086.0,12.1,3.1,848.6,86.2,3,0,1,0,0,0,0
228,26.0,15.0,72.2,70.0,45.3,81.7,43.8,70.1,84.0,79.4,87.8,80.0,80.0,1.1,15.0,19.0,35.3,43.3,10.6,287.0,-1.2,0.3,27191.0,7.0,3.3,10592.5,43.1,2,0,1,0,0,0,0
229,10.0,3.0,76.1,90.0,93.7,39.3,0.5,98.1,91.2,80.0,87.8,90.0,90.0,1.1,56.0,25.0,48.1,57.6,5.6,210.1,-0.6,-0.9,37657.0,7.6,2.4,2883.0,50.1,2,0,1,0,0,0,0
230,118.0,20.0,55.9,30.0,30.9,80.6,62.8,42.7,65.1,77.2,54.8,65.0,50.0,17.6,30.0,25.0,20.3,35.2,0.9,2.4,4.8,4.7,2677.0,59.0,3.7,100.0,38.6,4,0,0,0,0,0,1
231,63.0,12.0,65.2,60.0,53.5,72.9,61.7,75.0,70.7,85.8,72.7,70.0,30.0,8.6,35.0,30.0,24.2,35.7,0.1,1.0,0.4,2.0,14166.0,23.0,2.3,19.7,72.2,3,0,0,0,0,1,0
232,80.0,16.0,61.3,30.0,27.3,83.7,92.3,56.1,55.2,75.7,77.8,75.0,40.0,6.1,25.0,29.0,12.9,16.1,10.2,98.7,3.9,5.0,9646.0,13.0,3.7,3609.6,33.5,3,0,0,0,0,1,0
233,159.0,26.0,48.0,20.0,26.0,79.8,41.8,52.8,52.0,66.1,71.8,30.0,40.0,4.1,35.0,22.0,17.6,44.0,15.2,153.2,5.0,4.7,10056.0,5.3,5.1,586.5,18.6,5,0,0,0,0,1,0
234,135.0,13.0,52.9,20.0,28.6,85.6,69.6,62.7,45.7,60.5,71.4,45.0,40.0,9.3,25.0,25.0,13.8,31.8,82.5,540.0,2.2,4.2,6545.0,12.3,8.6,2797.7,80.2,4,0,0,1,0,0,0
235,59.0,11.0,66.2,40.0,34.3,79.6,85.8,59.6,63.3,80.0,79.0,70.0,70.0,5.5,30.0,30.0,15.4,21.7,6.2,46.3,1.6,0.6,7438.0,5.7,1.7,515.8,52.2,3,0,0,0,0,1,0
236,168.0,42.0,44.4,10.0,16.6,75.5,62.6,43.4,41.5,75.4,53.8,35.0,30.0,15.6,35.0,35.0,1.5,35.3,0.7,19.3,2.0,2.7,25929.0,22.3,5.5,2115.1,8.2,5,0,0,0,0,0,1
238,11.0,4.0,75.9,90.0,64.2,80.4,56.0,77.6,55.9,76.9,87.8,90.0,80.0,1.1,21.0,21.0,32.8,38.3,1.3,29.1,3.2,-1.0,21713.0,9.8,4.2,1470.4,8.5,2,0,1,0,0,0,0
240,99.0,20.0,58.7,25.0,20.0,82.3,76.2,64.9,73.1,75.2,70.2,50.0,50.0,9.9,29.0,20.0,23.0,28.2,0.9,4.3,2.1,0.8,4786.0,7.0,4.3,267.9,51.6,4,1,0,0,0,0,0
241,19.0,9.0,73.4,90.0,93.4,65.1,8.9,93.6,46.5,78.9,87.8,90.0,80.0,1.1,31.8,24.5,43.4,55.1,5.4,197.5,-0.2,-0.6,36395.0,7.7,3.2,-1805.6,53.3,2,0,1,0,0,0,0
242,70.0,33.0,63.5,80.0,69.9,48.4,5.6,79.9,51.8,76.1,82.8,70.0,70.0,1.1,45.0,34.3,44.2,56.1,63.4,2254.1,0.0,0.0,35548.0,10.2,2.0,25093.3,90.3,3,0,1,0,0,0,0
243,105.0,14.0,57.8,40.0,29.1,74.5,81.7,58.9,63.0,75.1,61.0,55.0,40.0,14.5,35.0,35.0,10.1,24.7,1.5,25.5,6.2,3.6,16548.0,21.0,3.0,702.4,22.0,4,0,0,0,0,0,1
245,22.0,12.0,72.6,40.0,42.8,87.3,69.7,87.8,91.2,78.4,88.6,80.0,60.0,0.7,20.0,15.0,25.4,31.8,4.5,26.7,6.5,3.6,5930.0,14.6,-0.9,866.1,32.7,2,0,1,0,0,0,0
246,18.0,8.0,73.4,90.0,80.1,61.2,38.2,89.9,46.4,80.8,87.8,90.0,70.0,1.1,47.5,15.8,37.1,45.4,81.9,3197.1,0.9,0.7,39028.0,5.5,2.1,6564.5,82.0,2,0,1,0,0,0,0
247,66.0,5.0,64.2,50.0,40.4,85.4,83.3,62.6,60.2,65.8,64.8,70.0,60.0,10.1,25.0,25.0,14.6,23.6,24.9,82.4,7.0,8.3,3305.0,11.0,9.2,3294.5,56.5,3,0,0,0,0,0,1
248,119.0,40.0,55.7,40.0,33.2,65.9,19.2,75.8,53.9,76.3,82.8,60.0,50.0,1.1,42.0,26.0,31.2,51.9,11.3,276.9,-6.4,-4.4,24505.0,24.2,1.0,2944.9,158.5,4,0,1,0,0,0,0
249,83.0,17.0,61.2,25.0,28.7,79.6,93.6,58.4,49.3,76.7,85.4,65.0,50.0,2.3,31.0,31.0,10.9,14.6,15.1,78.7,3.0,2.8,5209.0,4.1,3.8,1206.6,25.1,3,0,0,0,0,1,0
252,121.0,22.0,55.7,30.0,24.4,68.4,71.8,64.3,72.6,78.1,72.0,45.0,30.0,6.5,33.3,40.0,21.2,30.6,0.8,6.2,3.3,3.7,7939.0,11.0,3.0,230.9,60.3,4,0,0,0,0,1,0
253,156.0,24.0,48.9,10.0,16.9,80.3,66.3,33.3,68.5,73.6,70.4,40.0,30.0,7.3,30.0,30.0,13.1,33.5,10.4,12.9,2.8,1.3,1243.0,40.6,6.8,178.8,15.4,5,0,0,0,0,1,0
254,112.0,19.0,57.1,30.0,23.7,84.9,79.8,55.4,26.5,75.1,75.4,60.0,60.0,7.3,25.0,25.0,16.1,25.9,8.2,37.8,3.3,2.5,4610.0,4.4,5.2,1058.5,34.7,4,0,0,0,0,1,0
255,1.0,1.0,90.1,90.0,82.3,93.0,89.7,98.9,95.5,82.0,90.0,90.0,90.0,0.0,15.0,16.5,14.2,18.5,7.2,369.4,1.4,2.5,51494.0,3.3,4.1,74584.2,32.4,1,1,0,0,0,0,0
256,51.0,24.0,67.0,60.0,48.6,81.1,26.8,79.3,65.7,75.6,87.8,75.0,70.0,1.1,16.0,19.0,35.7,49.4,10.0,195.6,-1.7,-1.0,19638.0,11.0,5.7,13469.0,79.0,3,0,1,0,0,0,0
257,23.0,13.0,72.4,90.0,84.2,72.9,32.9,91.2,59.1,76.0,87.9,70.0,60.0,1.0,31.8,20.0,36.0,47.3,0.3,12.8,1.6,-1.1,39224.0,5.8,5.2,510.7,99.1,2,0,1,0,0,0,0
258,120.0,25.0,55.7,50.0,31.5,79.4,77.8,37.7,74.0,65.5,65.6,35.0,40.0,7.2,30.9,32.4,7.0,27.2,1223.2,4684.4,4.0,6.8,3830.0,8.5,9.3,25542.8,66.8,4,1,0,0,0,0,0
259,100.0,21.0,58.5,30.0,28.0,83.4,89.8,54.8,47.8,76.4,74.8,40.0,60.0,2.6,30.0,25.0,11.8,18.5,244.5,1216.7,6.2,5.9,4977.0,6.2,4.3,19852.6,24.0,4,1,0,0,0,0,0
260,173.0,15.0,40.3,10.0,23.4,80.6,85.9,62.3,41.7,47.3,41.4,0.0,10.0,21.8,35.0,25.0,9.3,21.7,76.1,999.2,-1.9,2.3,13127.0,12.5,30.6,4869.9,10.7,5,0,0,1,0,0,0
262,9.0,2.0,76.2,90.0,74.8,74.0,30.6,83.4,79.5,81.7,87.8,90.0,70.0,1.1,41.0,12.5,27.6,48.1,4.6,192.2,0.9,-1.2,41921.0,14.7,1.9,29318.0,117.1,2,0,1,0,0,0,0
263,44.0,5.0,68.4,75.0,59.3,60.1,40.3,73.2,63.0,80.6,82.9,80.0,70.0,3.5,48.0,25.0,32.6,44.6,7.7,248.7,3.1,3.6,32312.0,6.9,1.7,10414.1,74.6,3,0,0,1,0,0,0
264,86.0,35.0,60.9,50.0,38.5,55.5,25.6,75.5,52.5,78.9,87.8,85.0,60.0,1.1,43.0,27.5,42.9,49.8,60.8,1832.9,-2.4,-1.4,30136.0,10.6,3.3,9624.9,127.0,3,0,1,0,0,0,0
265,56.0,10.0,66.7,40.0,33.0,77.2,69.4,84.6,75.6,77.3,75.1,85.0,50.0,7.5,25.0,33.3,23.4,31.9,2.8,25.2,0.1,-0.8,9159.0,13.0,7.3,362.2,146.6,3,0,0,0,0,1,0
266,25.0,6.0,72.4,80.0,77.8,69.2,47.1,80.0,79.8,87.5,82.4,70.0,50.0,1.3,40.8,25.5,27.6,42.0,127.6,4627.9,2.0,-0.2,36266.0,4.4,-0.0,1730.8,237.9,2,1,0,0,0,0,0
267,39.0,4.0,69.2,60.0,45.6,94.0,66.9,62.0,72.9,81.3,79.6,70.0,60.0,5.2,14.0,14.0,14.4,33.2,6.4,38.7,2.8,4.1,6042.0,12.2,4.8,1403.0,79.6,3,0,0,1,0,0,0
268,67.0,11.0,63.7,30.0,25.7,92.9,85.0,74.4,86.7,74.4,78.2,40.0,50.0,3.4,10.0,20.0,14.6,22.3,16.7,231.8,5.0,4.8,13893.0,5.4,5.1,14022.1,12.3,3,1,0,0,0,0,0
269,111.0,17.0,57.1,30.0,21.0,78.0,74.6,55.8,64.0,74.9,72.8,50.0,50.0,6.1,30.0,30.0,20.1,29.1,42.1,75.9,4.7,3.8,1802.0,40.0,9.4,258.6,48.2,4,0,0,0,0,0,1
272,31.0,8.0,71.2,70.0,54.0,72.6,72.6,92.8,47.8,79.6,72.6,70.0,80.0,8.7,38.5,24.2,25.9,30.2,50.0,1613.9,2.0,2.9,32272.0,3.3,2.2,9904.0,33.7,2,1,0,0,0,0,0
274,76.0,7.0,62.3,50.0,43.7,97.7,55.6,57.7,63.6,73.2,76.7,55.0,50.0,4.1,0.0,15.0,0.8,38.5,3.8,151.0,5.1,0.8,39889.0,2.1,2.9,1851.1,7.3,3,0,0,1,0,0,0
275,85.0,15.0,61.1,20.0,19.2,94.6,60.2,74.2,83.8,73.7,75.2,60.0,50.0,2.4,10.0,10.0,18.5,36.4,5.6,13.3,-0.9,3.0,2376.0,7.7,2.8,372.2,48.9,3,1,0,0,0,0,0
276,144.0,31.0,51.2,15.0,18.6,86.6,86.7,60.7,54.9,75.5,58.6,35.0,20.0,13.2,24.0,24.0,13.7,21.0,6.4,19.2,8.3,8.0,3011.0,2.5,4.3,294.4,53.1,4,1,0,0,0,0,0
277,42.0,19.0,68.7,50.0,43.6,84.6,54.9,82.5,68.5,79.7,87.8,85.0,50.0,1.1,24.0,15.0,27.2,38.8,2.0,37.3,5.6,-2.6,18255.0,14.9,2.3,987.6,36.4,3,0,1,0,0,0,0
279,154.0,37.0,49.5,40.0,37.1,67.4,0.0,54.0,62.4,75.5,68.6,50.0,40.0,10.7,35.0,25.0,37.6,63.1,1.9,4.1,4.0,5.2,2138.0,25.0,5.3,172.3,41.9,5,0,0,0,0,0,1
280,138.0,30.0,52.4,30.0,33.8,83.6,70.5,62.3,47.0,72.9,64.1,40.0,20.0,10.4,25.0,25.0,19.8,31.4,4.0,2.7,8.3,6.8,673.0,85.0,6.8,1354.1,29.1,4,0,0,0,0,0,1
283,21.0,11.0,73.0,60.0,49.9,92.9,55.9,85.7,59.0,78.6,87.8,80.0,80.0,1.1,15.0,15.0,16.0,38.3,3.0,65.0,3.6,-0.5,21615.0,13.2,3.2,835.1,39.6,2,0,1,0,0,0,0
284,16.0,7.0,74.2,90.0,84.1,62.8,47.6,72.6,43.1,78.9,87.8,95.0,80.0,1.1,43.6,21.0,37.1,41.8,0.5,42.2,0.1,-0.1,79785.0,6.0,2.9,27877.7,21.1,2,0,1,0,0,0,0
286,43.0,20.0,68.6,35.0,39.6,91.4,70.7,81.0,78.8,83.5,85.9,60.0,60.0,2.0,10.0,10.0,25.6,31.3,2.1,21.9,-0.3,1.9,10579.0,31.3,3.3,134.6,33.3,3,0,1,0,0,0,0
289,37.0,9.0,69.6,55.0,44.3,84.6,75.6,85.6,78.5,81.0,76.4,55.0,60.0,4.3,26.0,25.0,15.3,28.5,29.5,498.5,5.6,4.2,16922.0,3.0,1.7,10073.9,55.5,3,1,0,0,0,0,0
290,145.0,32.0,51.0,20.0,21.9,97.4,43.8,87.4,71.7,69.4,43.8,25.0,30.0,20.6,0.0,0.0,16.2,43.3,0.3,3.1,3.5,5.1,9235.0,28.0,10.9,284.0,77.5,4,1,0,0,0,0,0
291,122.0,21.0,55.5,20.0,27.7,69.8,81.7,48.0,63.2,76.7,73.2,55.0,40.0,8.4,40.0,35.0,14.0,24.7,16.3,18.0,-1.2,3.3,1100.0,30.0,5.3,310.5,32.0,4,0,0,0,0,0,1
292,58.0,27.0,66.4,75.0,55.8,63.7,47.2,62.4,53.2,79.1,87.8,80.0,60.0,1.1,35.0,35.0,34.4,42.0,0.4,11.3,0.8,1.3,27022.0,6.3,3.2,157.2,72.5,3,0,1,0,0,0,0
293,134.0,28.0,53.2,25.0,23.9,81.7,75.8,38.0,53.1,75.5,69.0,50.0,40.0,8.0,30.0,25.0,17.5,28.4,3.6,7.7,6.4,3.5,2122.0,30.0,4.9,1204.4,79.7,4,0,0,0,0,0,1
294,8.0,1.0,76.5,65.0,53.4,92.2,81.8,74.4,78.0,76.7,88.6,85.0,70.0,0.7,15.0,15.0,18.3,24.7,1.3,20.2,3.3,3.9,15592.0,8.0,3.9,360.9,50.3,2,0,0,0,0,0,1
295,55.0,3.0,66.8,50.0,29.7,80.9,78.9,76.8,58.3,77.4,85.6,70.0,60.0,2.2,30.0,30.0,10.6,26.6,114.9,1758.9,3.9,1.6,15312.0,4.8,4.1,12659.4,43.5,3,0,0,0,1,0,0
297,110.0,39.0,57.3,40.0,29.5,85.8,54.4,70.1,37.9,75.0,80.1,50.0,50.0,2.5,18.0,12.0,30.8,39.0,3.6,12.2,-0.8,2.8,3415.0,5.5,4.7,159.2,23.8,4,0,1,0,0,0,0
299,68.0,31.0,63.6,40.0,37.8,92.5,42.6,77.6,68.6,78.6,83.1,65.0,50.0,3.5,9.0,9.0,24.2,43.8,0.6,7.3,0.0,1.3,11800.0,19.1,3.6,609.5,51.1,3,0,1,0,0,0,0
300,103.0,10.0,58.3,40.0,33.3,71.3,64.1,76.2,31.5,78.1,58.8,70.0,60.0,13.1,38.0,30.0,23.0,34.6,32.5,171.2,3.0,4.4,5265.0,8.8,1.3,2835.6,59.6,4,0,0,1,0,0,0
301,128.0,25.0,55.0,30.0,26.2,75.7,64.6,65.2,36.7,80.8,75.5,45.0,50.0,4.8,32.0,32.0,19.6,34.4,22.5,26.3,7.5,7.0,1169.0,17.0,2.1,5218.1,46.6,4,0,0,0,0,0,1
302,94.0,12.0,59.4,30.0,44.2,66.9,58.8,64.4,81.9,75.0,82.9,50.0,40.0,1.1,37.0,34.0,28.0,37.0,2.2,16.8,4.0,3.5,7772.0,51.2,6.7,357.5,26.6,4,0,0,0,0,0,1
303,149.0,34.0,50.1,30.0,21.3,85.9,89.6,58.5,43.8,76.3,61.0,5.0,30.0,12.0,25.0,25.0,12.6,18.6,31.0,40.6,4.6,4.8,1308.0,46.0,8.3,92.0,33.1,4,1,0,0,0,0,0
304,15.0,6.0,74.2,90.0,88.0,51.7,25.6,89.7,59.6,79.9,87.8,90.0,80.0,1.1,52.0,25.0,38.7,49.8,16.8,707.0,-0.9,-0.0,42194.0,5.3,2.8,-244.1,71.7,2,0,1,0,0,0,0
305,5.0,4.0,81.2,95.0,94.0,71.2,32.3,96.1,90.2,86.3,86.8,80.0,80.0,1.6,33.0,28.0,31.7,47.5,4.4,132.0,2.5,0.6,29730.0,6.9,1.1,2911.1,38.2,1,1,0,0,0,0,0
306,102.0,18.0,58.4,15.0,24.1,78.6,80.0,52.6,60.3,72.8,85.4,65.0,50.0,2.3,30.0,30.0,18.4,25.8,6.0,26.7,5.2,3.2,4458.0,7.8,7.9,810.0,52.1,4,0,0,0,0,1,0
308,129.0,26.0,54.3,30.0,22.7,85.0,74.5,48.0,66.4,73.1,63.8,40.0,40.0,10.6,24.0,30.0,4.7,29.2,164.8,448.1,6.3,6.9,2720.0,23.9,12.2,7028.9,17.8,4,0,0,0,0,0,1
309,32.0,16.0,70.9,90.0,88.1,50.6,42.2,90.9,44.6,78.7,89.1,75.0,60.0,0.5,47.8,28.0,43.2,43.9,5.0,277.1,3.0,0.6,55009.0,3.2,0.7,12774.6,34.1,2,0,1,0,0,0,0
310,48.0,6.0,67.4,50.0,48.2,98.5,56.0,68.3,75.5,73.6,78.7,65.0,60.0,3.2,0.0,12.0,2.2,38.3,3.1,90.1,5.0,6.3,29166.0,15.0,2.9,1514.0,6.1,3,0,0,1,0,0,0
311,126.0,26.0,55.2,30.0,22.7,80.6,88.3,69.4,47.3,68.5,64.8,40.0,40.0,10.1,25.0,35.0,9.3,19.8,178.9,515.4,3.7,3.0,2881.0,7.7,11.0,846.7,62.1,4,1,0,0,0,0,0
312,71.0,13.0,63.4,30.0,34.0,84.3,78.7,73.0,39.4,75.1,74.2,75.0,70.0,7.9,25.0,25.0,17.8,26.6,3.7,57.1,10.7,8.6,15617.0,4.2,5.7,3019.8,38.8,3,0,0,0,0,1,0
313,132.0,28.0,53.9,20.0,20.2,66.7,75.4,57.0,73.7,75.5,85.1,35.0,30.0,2.5,42.0,30.0,25.8,28.6,6.8,19.1,9.1,8.1,2797.0,1.9,4.0,28.8,14.1,4,1,0,0,0,0,0
314,78.0,15.0,62.0,30.0,20.5,96.2,89.0,58.0,28.9,80.9,81.1,75.0,60.0,4.5,10.0,10.0,13.4,19.1,6.7,40.9,-1.2,3.6,6136.0,5.8,3.8,319.9,11.4,3,0,0,0,0,1,0
315,47.0,7.0,67.4,40.0,34.0,79.1,89.1,70.6,61.4,83.3,87.0,70.0,60.0,1.5,30.0,30.0,17.0,19.1,30.5,326.7,6.3,6.5,10719.0,6.8,3.7,12239.7,19.8,3,0,0,0,0,1,0
316,89.0,16.0,60.1,30.0,26.1,79.2,92.3,59.9,49.7,78.0,75.5,60.0,50.0,4.8,32.0,30.0,12.3,16.0,95.8,424.4,6.6,4.7,4430.0,7.0,3.1,2797.0,41.9,3,1,0,0,0,0,0
317,50.0,23.0,67.0,60.0,54.8,76.1,43.2,70.1,60.4,77.8,87.8,70.0,70.0,1.1,32.0,19.0,31.7,43.5,38.9,800.9,2.0,3.4,20592.0,10.3,3.7,3355.7,55.2,3,0,1,0,0,0,0
318,69.0,32.0,63.5,70.0,61.1,60.1,26.8,84.9,34.6,79.3,87.8,70.0,60.0,1.1,48.0,26.5,31.3,49.4,10.5,246.5,-3.2,-1.2,23385.0,15.7,2.8,8915.5,123.0,3,0,1,0,0,0,0
319,30.0,3.0,71.2,70.0,72.4,99.9,72.1,71.7,70.0,81.2,79.8,45.0,50.0,5.1,0.0,0.0,2.9,30.5,1.8,187.9,6.6,13.1,102211.0,0.5,1.9,326.9,37.8,2,0,0,1,0,0,0
320,62.0,29.0,65.5,40.0,37.7,87.0,59.2,71.0,65.2,77.1,87.8,80.0,50.0,1.1,16.0,16.0,28.0,36.9,21.3,273.4,0.3,0.3,12808.0,7.0,3.3,2242.1,37.0,3,0,1,0,0,0,0
321,140.0,41.0,51.9,25.0,22.1,85.6,61.5,70.0,55.8,69.4,74.6,25.0,30.0,5.2,13.0,20.0,29.5,35.8,141.9,2513.3,3.4,1.8,17709.0,6.0,5.1,51416.0,10.9,4,0,1,0,0,0,0
323,33.0,2.0,70.7,70.0,70.6,75.7,63.6,83.1,84.5,82.7,71.9,65.0,40.0,9.0,30.0,30.0,25.1,34.8,0.2,2.2,-0.4,1.3,13104.0,20.0,4.3,112.8,78.4,2,0,0,0,0,1,0
324,52.0,8.0,67.0,70.0,61.1,73.7,72.4,76.3,78.7,79.8,67.6,50.0,40.0,11.2,32.5,33.0,22.1,30.3,0.1,1.3,0.5,-0.8,11776.0,15.0,2.6,125.5,70.2,3,0,0,0,0,1,0
