,World Rank,Region Rank,Year Score,Property Rights,Freedom from Corruption,Fiscal Freedom ,Gov Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov Expenditure % of GDP,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Score Category,Asia-Pacific,Europe,Middle East / North Africa,North America,South and Central America / Caribbean,Sub-Saharan Africa
82,33.0,4.0,70.4,60.0,45.0,93.6,68.8,69.2,75.5,82.0,79.6,70.0,60.0,5.2,14.0,14.0,15.9,32.3,6.3,36.9,2.5,5.1,5900.0,12.3,4.4,1469.0,69.8,2,0,0,1,0,0,0
83,68.0,11.0,63.0,35.0,27.0,93.2,84.5,71.8,88.4,72.2,78.2,30.0,50.0,3.4,10.0,20.0,13.4,22.8,16.7,216.8,7.5,5.6,13001.0,5.4,8.3,12910.5,10.9,3,1,0,0,0,0,0
84,114.0,18.0,55.9,30.0,22.0,77.5,73.5,58.0,57.1,73.8,66.7,50.0,50.0,9.2,30.0,30.0,21.3,29.7,40.9,71.4,5.0,4.3,1746.0,40.0,14.0,335.2,48.9,4,0,0,0,0,0,1
87,34.0,8.0,70.3,70.0,54.0,73.0,72.8,93.6,48.7,77.9,72.6,70.0,70.0,8.7,38.5,24.2,25.1,30.1,49.0,1554.1,3.6,3.5,31714.0,3.4,4.0,4660.9,34.1,2,1,0,0,0,0,0
90,89.0,15.0,59.6,20.0,21.0,94.8,56.4,73.2,88.6,66.7,75.4,50.0,50.0,2.3,10.0,10.0,17.9,38.1,5.5,13.1,5.7,4.8,2372.0,8.6,16.6,693.5,52.4,4,1,0,0,0,0,0
91,144.0,33.0,50.1,15.0,22.0,79.7,85.8,62.1,54.7,73.0,58.7,30.0,20.0,13.2,25.0,35.0,13.3,21.8,6.6,17.4,8.3,7.9,2659.0,2.5,8.7,450.0,57.4,4,1,0,0,0,0,0
92,55.0,25.0,66.5,50.0,42.0,84.4,53.6,75.7,64.4,78.3,86.8,80.0,50.0,1.6,25.0,15.0,26.7,39.3,2.2,34.9,5.5,-1.7,15662.0,15.4,4.2,1562.1,37.8,3,0,1,0,0,0,0
98,22.0,12.0,72.1,60.0,48.0,92.8,53.6,77.6,64.1,78.3,86.8,80.0,80.0,1.6,15.0,15.0,16.5,39.3,3.3,61.6,5.9,0.7,18856.0,15.4,4.1,1217.1,39.0,2,0,1,0,0,0,0
99,15.0,6.0,74.2,90.0,85.0,65.0,47.1,74.8,39.0,79.3,86.8,95.0,80.0,1.6,41.0,21.8,36.7,42.0,0.5,41.2,1.0,1.1,80119.0,5.2,3.4,17530.1,20.8,2,0,1,0,0,0,0
101,43.0,21.0,68.2,35.0,39.0,91.4,69.1,80.3,78.4,84.0,84.6,60.0,60.0,2.7,10.0,10.0,25.7,32.1,2.1,21.3,3.0,3.0,10367.0,31.4,3.9,421.9,28.1,3,0,1,0,0,0,0
104,56.0,9.0,66.1,55.0,43.0,85.1,73.5,79.9,72.3,79.8,77.0,45.0,50.0,4.0,26.0,25.0,13.8,29.7,28.7,447.3,5.1,4.3,15568.0,3.1,3.2,11966.0,52.6,3,1,0,0,0,0,0
105,149.0,34.0,49.0,25.0,25.0,98.8,14.5,88.7,64.0,70.4,43.7,30.0,30.0,20.6,0.0,0.0,11.0,53.4,0.3,2.8,7.4,6.1,8731.0,14.5,12.1,281.6,69.1,5,1,0,0,0,0,0
107,47.0,23.0,67.5,75.0,56.0,61.2,44.1,61.1,65.4,80.4,86.8,85.0,60.0,1.6,35.0,35.0,37.8,43.2,0.4,10.8,2.1,2.0,25428.0,6.4,2.4,538.5,70.9,3,0,1,0,0,0,0
108,134.0,28.0,52.3,25.0,24.0,80.3,74.7,43.3,51.1,75.1,64.8,45.0,40.0,10.1,33.0,25.0,16.0,29.1,3.3,7.1,3.6,2.4,2179.0,35.0,5.7,45.2,92.4,4,0,0,0,0,0,1
109,8.0,1.0,76.9,70.0,51.0,92.1,81.9,78.2,72.3,75.4,87.9,90.0,70.0,1.1,15.0,15.0,18.5,24.6,1.3,19.3,4.1,4.5,14954.0,7.8,6.5,273.4,50.6,2,0,0,0,0,0,1
110,50.0,3.0,67.0,50.0,30.0,81.1,79.4,81.4,59.7,77.7,80.6,70.0,60.0,2.2,30.0,30.0,9.6,26.2,113.7,1661.6,4.0,1.4,14610.0,5.3,3.4,19554.4,43.8,3,0,0,0,1,0,0
112,115.0,39.0,55.5,40.0,29.0,87.2,50.1,69.7,40.9,73.4,80.0,35.0,50.0,2.5,18.0,0.0,31.0,40.8,3.6,12.0,6.4,3.5,3373.0,6.7,7.7,274.0,23.4,4,0,1,0,0,0,0
113,75.0,12.0,61.7,30.0,27.0,82.5,62.6,70.4,79.2,75.6,79.8,50.0,60.0,5.1,10.0,25.0,31.9,35.3,2.8,13.3,17.3,8.1,4744.0,9.9,9.5,4714.6,41.3,3,1,0,0,0,0,0
114,70.0,33.0,62.6,40.0,40.0,92.4,41.5,72.7,71.4,79.9,83.0,55.0,50.0,3.5,9.0,9.0,24.4,44.2,0.6,7.2,2.5,3.2,11545.0,11.5,3.1,558.1,45.8,3,0,1,0,0,0,0
115,90.0,9.0,59.6,40.0,34.0,71.4,64.3,76.4,30.1,78.9,70.8,70.0,60.0,7.1,38.0,30.0,22.8,34.5,32.2,162.6,4.3,4.2,5052.0,8.9,0.9,2519.1,54.4,4,0,0,1,0,0,0
117,84.0,9.0,60.3,30.0,44.0,66.4,71.5,68.4,76.7,74.9,81.5,50.0,40.0,1.8,37.0,34.0,28.9,30.8,2.1,15.7,3.6,3.7,7363.0,51.2,5.8,899.7,21.9,3,0,0,0,0,0,1
118,141.0,31.0,50.4,30.0,22.0,85.8,89.2,57.2,44.3,75.1,60.8,10.0,30.0,12.1,25.0,25.0,13.2,18.9,28.5,37.8,3.5,4.4,1328.0,46.0,9.6,95.5,34.1,4,1,0,0,0,0,0
119,17.0,8.0,73.5,90.0,89.0,52.1,24.7,83.0,58.6,81.1,86.8,90.0,80.0,1.6,52.0,25.0,38.2,50.1,16.7,704.0,1.3,1.0,42183.0,5.3,2.5,17129.4,66.2,2,0,1,0,0,0,0
